[2024.09.07-04.11.33:722][164]Log file open, 09/07/24 06:11:33
[2024.09.07-04.26.01:587][851]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -44090.472076, -156185.621823, 36932.345352)
[2024.09.07-04.26.01:679][852]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -40236.293387, -111893.323042, 36763.090366)
[2024.09.07-04.26.07:790][932]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -25143.989589, -172020.970570, 36923.243684)
[2024.09.07-04.26.08:497][941]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -145283.087179, -111678.799911, 36652.143125)
[2024.09.07-04.26.14:461][ 17]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -28938.954943, -104602.039491, 36741.117368)
[2024.09.07-04.26.14:782][ 21]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -125706.026928, -124487.018274, 36682.007961)
[2024.09.07-04.26.21:123][ 98]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -89924.019410, -113117.888705, 36839.829253)
[2024.09.07-04.26.28:642][174]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -4414.775411, -179612.980267, 36762.081020)
[2024.09.07-04.26.46:257][343]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -59721.688787, -117451.900302, 36596.279416)
[2024.09.07-04.26.46:466][345]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -107939.039897, -133878.319215, 36647.815436)
[2024.09.07-04.26.53:122][426]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -44213.332724, -159165.445819, 36925.696717)
[2024.09.07-04.26.53:225][427]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -35075.228141, -106744.055781, 36773.506539)
[2024.09.07-04.26.59:745][500]Failed Spawned Dino: Aberrant Cnidaria (Location -194113.657753, -174.279592, 35100.848991)
[2024.09.07-04.27.00:561][508]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -21935.956189, -175718.986011, 36802.957005)
[2024.09.07-04.27.00:925][512]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -21961.369729, -94201.395815, 36631.880434)
[2024.09.07-04.27.01:393][517]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -118088.655229, -133550.401376, 36738.649976)
[2024.09.07-04.27.08:434][600]Failed Spawned Dino: Aberrant Manta - Lvl 115 (Location -135827.352919, -119115.968644, 36639.447179)
[2024.09.07-04.27.16:353][681]Failed Spawned Dino: Aberrant Manta - Lvl 45 (Location -94223.238686, -117233.733100, 36621.411168)
[2024.09.07-04.27.25:542][758]Failed Spawned Dino: Aberrant Manta - Lvl 100 (Location -6719.553673, -178804.085461, 36842.395503)
[2024.09.07-04.27.35:483][848]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -57996.631767, -114708.004361, 36943.413289)
[2024.09.07-04.27.42:838][933]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -34179.253867, -105870.727989, 36766.429568)
[2024.09.07-04.27.43:243][937]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -108796.790631, -127912.227537, 36940.341793)
